,Product name,Category
0,"HP 14 11th Gen Intel Core i5 Processor 14-inch(35.6 cm) FHD Laptop (8GB/512GB/Windows 10/MS Office/Natural Silver/1.46Kg), 14s-dr2016tu",Laptops
1,"Dell Vostro 3400 14"" (35.56 cms) FHD Anti Glare Display Laptop (11th Gen i5-1135G7 / 8GB / 1TB / Integrated Graphics / Win 10 + MS Office / Black/ 1.58Kg) D552154WIN9BE",Laptops
2,"HP 15 (2021) Thin & Light Ryzen 3-3250 Laptop, 8 GB RAM, 1TB HDD, 39.62 cms (15.6"") FHD Screen, Windows 10, MS Office (15s-gr0011AU)",Laptops
3,"HP 15 AMD Athlon 15.6"" (39.62cms) HD Laptop (Silver-3050U/4GB/1TB/Win 10/MS Office/Jet Black/1.85kg), 15s-gy0001au",Laptops
4,"ASUS VivoBook 15 (2020), 39.6 cm HD, Dual Core Intel Celeron N4020, Thin and Light Laptop (4GB RAM/256GB SSD/Integrated Graphics/Windows 10 Home/Transparent Silver/1.8 Kg), X515MA-BR002T",Laptops
5,"HP Chromebook 14a-na0003TU 14-inch (35.56 cms) Thin & Light Touchscreen Laptop (Intel N4020/4GB/64GB SSD + 256GB Expandable/Chrome OS/1.46 kgs Light), Mineral Silver",Laptops
6,"HP 15 Thin & Light Ryzen 3-3250 Laptop, 4 GB RAM, 1TB HDD, 38.1 cms (15"") FHD Screen, Windows 10, MS Office (15s-gr0006au)",Laptops
7,"HP Chromebook x360 Intel Celeron N4020 Processor 12-inch (30.48 cms) Touchscreen Laptop (4GB/64GB eMMC Storage/Chrome OS/Natural Silver), 12b-ca0010TU",Laptops
8,"AVITA Essential NE14A2INC433-CR 14"" (35.56cms)Laptop (Celeron N4000/4GB/128GB SSD/Window 10 Home in S Mode/Integrated Graphics), Concrete Grey",Laptops
9,"HP 15 11th Gen Intel Core i3 Processor 15.6"" (39.62cms) FHD Laptop (8GB/256GB SSD/Win 10/MS Office/Integrated Graphics/Jet Black/1.69 Kg), 15s-fq2075TU",Laptops
10,"Lenovo ThinkPad E15 (2021) Intel Core i5 11th Gen 15.6"" FHD Thin and Light Laptop (8GB RAM/512GB SSD/Win 10/MSO H&S/Black/1.7 kg) + Lenovo 1 Year to 3 Year Extended Onsite Service Warranty",Laptops
11,"Lenovo ThinkPad E14 (2021) Intel Core i5 11th Gen 14-inch (23.56 cm) FHD Thin and Light Laptop (8GB RAM/512GB SSD/Windows 10 Home SL/MS Office/Fingerprint Reader/Black/1.59 kg), 20TAS0EQ00",Laptops
12,"RDP ThinBook 1010 - Intel Celeron Quad Core Processor, 4GB RAM, 64GB Storage, Windows 10 Pro, 14.1” HD Screen",Laptops
13,"Dell Inspiron 3505 15.6"" (39.62 cms) HD Anti Glare Display Laptop (Athlon Gold 3150U / 4GB / 256 SSD / Integrated Graphics / Win 10 + MS Office / Accent Black) D560343WIN9BE",Laptops
14,"ASUS VivoBook 14 (2020) Intel Core i3-1005G1 10th Gen 14-inch (35.56 cms) FHD Thin and Light Laptop (4GB/256GB NVMe SSD/Integrated Graphics/Windows 10/MS Office 2019/Silver/1.6 kg), X415JA-EK312TS",Laptops
15,"Dell Inspiron 3505 15.6"" FHD AG Display Laptop (R3-3250U/ 8GB DDR4/ 256GB SSD/ Win 10 + MS Office/ Radeon Graphics/ Soft Mint Color) D560486WIN9S",Laptops
16,"AVITA Essential Refresh NE14A2INC44A-CR 14-inch/35.56 cm(Intel Celeron-N4020/4GB/256GB SSD/Windows 10 Home/FHD/Integrated Graphics), Concrete Grey",Laptops
17,"(Renewed) Dell Latitude 6520 Core i5 2nd Gen | 4Gb Ram | 320 Gb Hdd | 15.6"" True View Led Screen| Numeric Keypad | Wifi | Webcam | Windows 10 | Charger",Laptops
18,"AVITA Essential Refresh NE14A2INC43A-CR 14-inch/35.56 cm(Intel Celeron-N4020/4GB/128GB SSD/Windows 10 Home/FHD/Integrated Graphics), Concrete Grey",Laptops
19,"AVITA Essential Refresh NE14A2INC44A-MW 14-inch/35.56 cm(Intel Celeron-N4020/4GB/256GB SSD/Windows 10 Home/FHD/Integrated Graphics), Matt White",Laptops
20,"(Renewed) Hitachi Flora Laptop SE210 AMD E1-2100 Processor, 4 GB Ram & 128 GB SSD, Windows 10 Lite, 13.3 Inches (No Webcam) Ultralight 1.2Kg Notebook Computer",Laptops
21,"HP 15 11th Gen Intel Core i3 Processor 15.6"" (39.62cms) FHD Laptop (8GB/512GB SSD/Win 10/MS Offce/Integrated Graphics/Natural Silver/1.69 Kg), 15s-fr2006TU",Laptops
23,"HP 15 (2021) Thin & Light 11th Gen Core i5 Laptop, 8 GB RAM, 512GB SSD, 15.6-inch (39.62 cms) FHD Screen, Windows 10, MS Office, Built-in Alexa (15s-fq2535TU)",Laptops
24,"Acer Aspire 3 A315-23 15.6"" (39.62cms) Laptop (AMD Athlon Silver 3050U dual-core/4GB/1TB HDD/Window 10, Home, 64Bit/AMD RadeonTM Graphics), Silver",Laptops
25,"ASUS VivoBook 14 Intel Core i3-10110U 10th Gen 14-inch FHD Compact and Light Laptop (4GB RAM/1TB HDD/Windows 10/Integrated Graphics/Slate Grey/1.60 kg), X409FA-EK617T",Laptops
26,"AVITA Essential Refresh NE14A2INC44A-MB 14-inch/35.56 cm(Intel Celeron-N4020/4GB/256GB SSD/Windows 10 Home/FHD/Integrated Graphics),Matt Black",Laptops
28,"HP Notebook PC 245 G7 14"" (35.56cms) Laptop ATHLON-3050U/4GB/1TB/Windows 10 Home/ 1 Year Warranty (21Z04PA)",Laptops
29,"HP 15 (2021) Thin & Light Ryzen 3-3250 Laptop, 8 GB RAM, 1TB HDD + 256GB SSD, 15.6"" (39.2 cms) FHD Screen, Windows 10, MS Office (15s-gr0012AU)",Laptops
31,"Lenovo V15 AMD 15.6-inch FHD Thin and Light Laptop (AMD Athlon Gold 3150U/ 4GB RAM/ 1TB HDD/ Dos /Integrated AMD Radeon Graphics/ Iron Grey), 82C700JCIH",Laptops
33,"Lenovo IdeaPad Slim 5 11th Gen Intel Core i5 15.6"" (39.63cm) FHD IPS Thin & Light Laptop (8GB/1TB+256GB SSD/Windows 10/MS Office/Backlit Keyboard/Fingerprint Reader/Graphite Grey/1.66Kg), 82FG010BIN",Laptops
34,"Dell 14 (2021) Thin & Light i3-1005G1 Laptop, 4Gb RAM, 1TB HDD + 256GB SSD, 14” (35.56 Cms) FHD AG Display, Win 10 + MSO, Black (Vostro 3401, D552151WIN9BE)",Laptops
35,"Life Digital Laptop 15.6-inch (39.62 cms) (Intel Core i5/4GB RAM/256GB SSD/Type-C Data/Windows 10), ZED AIR CX5",Laptops
36,"HP 14 (2021) Thin & Light 11th Gen Intel Core i3 Laptop with Alexa Built-in, 8GB RAM, 512GB SSD, 14-inch(35.5 cm) FHD Screen, Windows 10, MS Office (14s-dr2015TU)",Laptops
37,"Lenovo V15 AMD 15.6-inch (39.6 cm) FHD Thin and Light Laptop (AMD Athlon Gold 3150U/ 4GB RAM/ 1TB HDD/ Windows 10 Home/Integrated AMD Radeon Graphics/ Iron Grey), 82C700JEIH",Laptops
38,"HP 15 Intel Pentium Gold 6405U Processor Entry Level 39.62 cms(15.6-inch) FHD Laptop (4GB/1TB/Win 10/Jet Black/1.74kg), 15s-du1052tu",Laptops
39,"Dell Vostro 3401 14"" FHD Display Laptop (i3-1005G1 / 8GB / 256GB SSD / Integrated Graphics / Win10 + MSO Black) D552181WIN9BE",Laptops
40,"HP 15 11th Gen Intel Core i3 Processor 15.6"" (39.62cms) FHD Laptop with Alexa Built-in(i3-1115G4/8GB/1TB HDD/M.2 Slot/Win 10/MS Office/Natural Silver/1.76 Kg), 15s-du3038TU",Laptops
41,"HP 15 Ryzen 3 5300U 15.6-inch(39.6 cm) FHD Thin & Light Laptop (8GB RAM/512GB SSD/Windows 10/MS Office/Natural Silver/1.69 Kg), 15s-eq2042AU",Laptops
43,"HP Pavilion (2021) Thin & Light 11th Gen Core i5 Laptop, 16 GB RAM, 512GB SSD, Iris Xe Graphics, 14-inch (35.56 cms) FHD Screen, Win 10, MS Office, Backlit Keyboard, Natural Silver (14-dv0054TU)",Laptops
44,"HP Pavilion Gaming 10th Gen Intel Core i5 Processor 15.6-inch(39.6 cm) FHD Gaming Laptop (8GB/512GB SSD + 32GB Intel Optane/144 Hz/Win10/MS Office/NVIDIA GTX 1650 4GB/Shadow Black), 15-dk1148TX",Laptops
45,"HP Pavilion (2021) Thin & Light 11th Gen Core i5 Laptop, 16 GB RAM, 512GB SSD, Iris Xe Graphics, 14-inch (35.56 cms) FHD Screen, Win 10, MS Office, Backlit Keyboard, Tranquil Pink (14-dv0055TU)",Laptops
46,"Lenovo IdeaPad Slim 3 10th Gen Intel Core i3 15.6"" (39.63cm) FHD Thin & Light Laptop (8GB/1TB HDD/Windows 10/MS Office/Intel UHD Graphics/2 Year Warranty/Platinum Grey/1.7Kg), 81WB015JIN",Laptops
47,"Lenovo E41-45 (82BFS00300) Laptop (AMD A9-9425 / 4GB RAM/ 1TB HDD/ Win 10 Home SL/ 14 Inch (35.5 cm) Screen / Black), 1 Year Warranty",Laptops
48,"Lenovo V15 AMD 15.6-inch FHD Thin and Light Laptop (AMD Athlon Silver 3050 U/ 4GB RAM/ 1TB HDD/ DOS /Integrated AMD Radeon Graphics/ Iron Grey/ 1.85 kg), 82C700HXIH",Laptops
49,"Dell Inspiron 3505 15.6"" FHD Display Laptop (Ryzen 3 -3250U / 4GB / 1TB HDD + 256GB SSD / Integrated Graphics / Win10 + MS Office / Accent Black) D560361WIN9B",Laptops
50,Lenovo V14 AMD Ryzen 3 3250U 14.1-inch HD Laptop (8GB/1TB/Windows 10/AMD Radeon Graphics/Grey/1.85Kg),Laptops
